state_name,district_name,crop_year,season,crop,area_hectares,yield_kg_per_ha,production_tonnes
Madhya Pradesh,Madh_District_07,2020.0,Rabi,Sugarcane,16602.73,4454.44,73955.86
Assam,Assa_District_18,2018.0,Zaid,Rice,18715.72,3042.85,56949.13
Rajasthan,Raja_District_16,2014.0,Kharif,Rice,13590.06,1222.65,16615.89
Haryana,Hary_District_12,2021.0,Zaid,Maize,38767.9,2734.66,106017.03
Maharashtra,Maha_District_19,2020.0,Zaid,Cotton,26870.75,4844.37,130171.86
Rajasthan,Raja_District_18,2017.0,Zaid,Wheat,48182.64,4350.39,209613.28
West Bengal,West_District_10,2016.0,Kharif,Sugarcane,9461.7,3174.23,30033.61
Assam,Assa_District_04,2022.0,Rabi,Barley,43919.56,2185.09,95968.19
,Hary_District_02,2023.0,Kharif,Barley,5145.2,4149.33,21349.13
Gujarat,Guja_District_06,2018.0,Kharif,,24140.0,3039.77,73380.05
Rajasthan,Raja_District_09,2014.0,,Groundnut,49109.0,3232.45,158742.39
Uttar Pradesh,Utta_District_06,2012.0,Rabi,Mustard,21306.47,2164.93,46127.02
Uttar Pradesh,Utta_District_20,2023.0,Rabi,Barley,20939.2,1032.8,21626.01
Tamil Nadu,Tami_District_14,2016.0,Rabi,Cotton,39758.05,4269.73,169756.14
Maharashtra,Maha_District_10,2016.0,Zaid,Rice,14291.42,1867.08,26683.22
Telangana,Tela_District_18,2018.0,Kharif,Rice,43729.28,607.87,26581.72
Andhra Pradesh,Andh_District_18,2011.0,Kharif,Barley,26070.83,2586.54,67433.24
Telangana,Tela_District_16,2020.0,Kharif,Maize,34537.33,1235.26,42662.58
West Bengal,,2012.0,Rabi,Mustard,33449.7,2195.3,73432.13
Madhya Pradesh,Madh_District_12,2015.0,Kharif,Soybean,30973.87,680.43,21075.55
Maharashtra,Maha_District_09,2012.0,Kharif,Jowar,23140.19,2850.13,65952.55
Bihar,Biha_District_06,2015.0,Rabi,Rice,10794.89,1128.31,12179.98
Tamil Nadu,Tami_District_04,2018.0,Rabi,Mustard,9504.87,2048.63,19471.96
Punjab,Punj_District_03,2013.0,Zaid,Jowar,4930.83,4762.94,23485.25
Rajasthan,Raja_District_04,2019.0,Rabi,Mustard,20309.2,4140.36,84087.4
Karnataka,Karn_District_12,2015.0,Zaid,Groundnut,48723.41,863.31,42063.41
,Tela_District_11,2012.0,Kharif,Mustard,32618.31,4421.34,144216.64
Tamil Nadu,Tami_District_20,2022.0,Zaid,Cotton,31748.3,2430.62,77168.05
West Bengal,West_District_11,2011.0,Zaid,Maize,21610.71,661.54,14296.35
Maharashtra,Maha_District_06,2018.0,Kharif,Jowar,26776.58,4970.94,133104.77
Madhya Pradesh,Madh_District_18,2019.0,Zaid,Mustard,47939.51,681.8,32685.16
Karnataka,Karn_District_06,2011.0,Rabi,Mustard,35319.27,1857.94,65621.08
Maharashtra,Maha_District_19,2016.0,Kharif,Wheat,45159.16,703.02,
Rajasthan,Raja_District_20,2018.0,Zaid,Jowar,46800.12,4268.64,199772.86
Telangana,Tela_District_16,2013.0,Rabi,Soybean,5963.47,769.21,4587.16
Uttar Pradesh,Utta_District_14,2017.0,Kharif,Wheat,41751.91,1200.91,50140.29
Maharashtra,Maha_District_13,2018.0,Zaid,Maize,26791.42,4620.85,123799.13
Uttar Pradesh,Utta_District_11,2010.0,Rabi,Barley,28415.66,2287.55,65002.24
Telangana,Tela_District_19,2016.0,,Maize,22306.3,784.03,17488.81
Punjab,Punj_District_17,2012.0,Zaid,Soybean,48440.74,1897.94,91937.62
Odisha,Odis_District_14,2022.0,Rabi,Sugarcane,9549.24,1787.21,17066.5
Haryana,Hary_District_13,2019.0,Kharif,Sugarcane,48222.22,924.29,
Punjab,Punj_District_11,2017.0,Zaid,Jowar,43378.42,3685.3,159862.49
Telangana,,2013.0,Rabi,,41517.96,,203086.76
Telangana,Tela_District_19,2018.0,Rabi,Rice,42123.52,4745.22,199885.37
Telangana,Tela_District_03,2020.0,Zaid,Cotton,6434.07,4081.05,26257.76
Maharashtra,Maha_District_03,2021.0,Zaid,Soybean,27329.22,2945.73,80504.5
Uttar Pradesh,Utta_District_19,2023.0,Rabi,Mustard,44956.19,4873.12,219076.91
Andhra Pradesh,Andh_District_15,2014.0,Rabi,Sugarcane,35271.43,2673.22,94288.29
Andhra Pradesh,Andh_District_01,2012.0,Rabi,Sugarcane,22874.55,2238.54,51205.6
Punjab,Punj_District_03,2015.0,Rabi,Maize,18143.79,2261.78,41037.26
Punjab,Punj_District_19,2018.0,Rabi,Soybean,4578.69,848.46,3884.84
Rajasthan,Raja_District_02,2015.0,Zaid,Soybean,39015.51,2507.33,97824.76
Odisha,Odis_District_01,2023.0,Kharif,Maize,46541.16,3254.99,151491.01
Telangana,Tela_District_10,2019.0,Zaid,Wheat,1855.28,1208.86,2242.77
Madhya Pradesh,Madh_District_10,2020.0,Zaid,Groundnut,10370.41,4890.81,50719.7
West Bengal,West_District_02,2013.0,Rabi,Sugarcane,11013.34,2820.9,31067.53
Telangana,Tela_District_11,2011.0,Rabi,Jowar,46815.23,4897.37,229271.5
Bihar,,2023.0,Rabi,Mustard,11894.39,721.03,8576.21
Assam,Assa_District_05,2019.0,Kharif,Mustard,7764.73,784.98,6095.16
Tamil Nadu,Tami_District_07,2021.0,Kharif,Soybean,9836.7,3058.56,30086.14
Tamil Nadu,Tami_District_20,2020.0,Zaid,Wheat,45631.19,2917.48,133128.08
Telangana,Tela_District_07,2023.0,Kharif,Cotton,31336.88,1408.4,44134.86
Odisha,Odis_District_07,2011.0,Kharif,Rice,40049.12,3280.05,131363.12
Gujarat,Guja_District_09,2015.0,Zaid,Maize,43220.43,4769.79,206152.37
Telangana,Tela_District_04,2013.0,Kharif,,,907.61,15847.1
Assam,Assa_District_11,2014.0,,Maize,11373.86,2470.29,28096.73
Madhya Pradesh,Madh_District_13,2020.0,Kharif,Groundnut,47290.11,2202.39,104151.27
Assam,Assa_District_16,2022.0,Kharif,Mustard,38561.58,2932.15,113068.34
Odisha,Odis_District_14,2018.0,Kharif,Wheat,9222.16,1943.3,17921.42
Haryana,Hary_District_10,2020.0,Kharif,Mustard,32694.28,3527.84,115340.19
Andhra Pradesh,Andh_District_19,2012.0,Zaid,Barley,,1528.91,33321.84
Odisha,Odis_District_06,2013.0,Kharif,Sugarcane,36123.15,1259.93,45512.64
Bihar,,2023.0,Kharif,Groundnut,46839.82,1345.57,63026.26
Assam,Assa_District_14,2018.0,Rabi,Rice,5454.89,2739.41,14943.18
Gujarat,Guja_District_15,2014.0,Kharif,Wheat,26025.52,2786.87,72529.74
Assam,Assa_District_19,2017.0,Rabi,Maize,21889.71,4976.67,108937.86
Assam,Assa_District_20,2021.0,Kharif,Jowar,24365.4,2650.76,64586.83
Gujarat,Guja_District_19,2019.0,Rabi,Rice,21146.13,800.72,16932.13
Uttar Pradesh,Utta_District_20,2021.0,,Groundnut,29688.54,1525.85,45300.26
Madhya Pradesh,Madh_District_05,2023.0,Rabi,Barley,31916.69,728.75,23259.29
Rajasthan,Raja_District_05,2016.0,Kharif,Jowar,49071.22,2610.52,128101.4
Punjab,Punj_District_13,2013.0,,Jowar,44848.09,2640.03,118400.3
Haryana,Hary_District_10,2014.0,Kharif,Jowar,3110.51,4199.96,13064.02
Uttar Pradesh,,2014.0,Rabi,Barley,,4017.91,130358.56
Uttar Pradesh,Utta_District_02,2022.0,Rabi,Jowar,21465.68,3370.72,72354.8
Gujarat,Guja_District_05,2014.0,Rabi,Rice,42825.83,3339.79,143029.28
West Bengal,West_District_01,2013.0,Kharif,Barley,17448.91,3481.38,60746.29
West Bengal,West_District_01,2017.0,Kharif,Cotton,33625.52,4822.64,162163.78
Assam,Assa_District_02,2010.0,Zaid,Soybean,18608.52,2412.87,44899.94
Gujarat,Guja_District_15,2020.0,Kharif,Mustard,40624.94,2775.93,112771.99
Odisha,Odis_District_16,2019.0,Kharif,Soybean,36855.0,2568.69,94669.07
Madhya Pradesh,Madh_District_05,2020.0,Zaid,Maize,,3853.42,41821.98
Punjab,Punj_District_18,2010.0,Zaid,Groundnut,6644.64,1393.63,9260.17
Karnataka,Karn_District_17,2014.0,Zaid,Sugarcane,31378.57,3862.71,121206.32
Assam,Assa_District_17,2014.0,Kharif,Sugarcane,44744.93,1726.64,77258.39
Uttar Pradesh,Utta_District_02,2010.0,,Cotton,5625.14,4802.21,27013.1
Gujarat,Guja_District_17,2023.0,Kharif,Jowar,7805.71,1389.5,10846.03
Rajasthan,Raja_District_13,2012.0,Kharif,Jowar,14637.34,2882.26,42188.62
Telangana,Tela_District_01,2020.0,Rabi,Barley,44153.0,3922.46,173188.38
Madhya Pradesh,Madh_District_19,2017.0,Zaid,Mustard,35437.06,1288.31,
Madhya Pradesh,Madh_District_11,2012.0,Zaid,Jowar,17948.36,2652.82,47613.77
Haryana,Hary_District_07,2010.0,Zaid,Cotton,7456.56,1730.43,
Uttar Pradesh,Utta_District_02,2016.0,Zaid,Cotton,15485.83,1072.74,16612.27
,Punj_District_01,,Rabi,Jowar,27556.96,3672.63,101206.52
Uttar Pradesh,Utta_District_17,2012.0,Kharif,Cotton,3589.59,2665.05,9566.44
Madhya Pradesh,Madh_District_06,2012.0,Zaid,Jowar,39132.34,3865.96,151284.06
Karnataka,Karn_District_03,2018.0,Zaid,Barley,40772.15,2517.08,102626.76
Assam,Assa_District_02,2016.0,Kharif,Maize,41045.8,1583.39,64991.51
Maharashtra,Maha_District_19,2017.0,Kharif,Cotton,18104.45,1293.6,23419.92
Madhya Pradesh,Madh_District_12,2016.0,Rabi,Groundnut,23427.48,2264.27,53046.14
Telangana,Tela_District_14,2017.0,Rabi,Mustard,12122.26,3883.01,47070.86
Bihar,Biha_District_03,2011.0,Rabi,Cotton,15760.95,1727.62,27228.93
Bihar,Biha_District_09,2019.0,Rabi,Mustard,6631.43,2474.7,16410.8
Uttar Pradesh,Utta_District_15,2017.0,Rabi,Soybean,15217.93,2161.73,32897.06
Bihar,Biha_District_03,2016.0,Rabi,Wheat,11876.26,3934.2,46723.58
Maharashtra,Maha_District_02,2022.0,Zaid,Mustard,46507.17,2740.69,127461.74
Tamil Nadu,Tami_District_06,2018.0,Rabi,,32185.62,4402.28,141690.11
Assam,,2023.0,Kharif,Maize,49941.6,3260.82,162850.57
Maharashtra,Maha_District_10,2015.0,Zaid,Mustard,44500.0,4588.74,204198.93
Telangana,Tela_District_10,2023.0,Rabi,Groundnut,39593.43,2574.19,101921.01
Maharashtra,Maha_District_04,2021.0,Zaid,Mustard,4149.58,571.12,2369.91
Maharashtra,Maha_District_12,2022.0,Rabi,Wheat,23912.31,2724.42,
Andhra Pradesh,Andh_District_13,2016.0,Kharif,Groundnut,20427.38,3056.75,62441.39
Karnataka,Karn_District_06,2017.0,Kharif,Soybean,27652.92,4264.76,
Maharashtra,Maha_District_17,2021.0,Kharif,Mustard,5521.99,1513.3,8356.43
Karnataka,Karn_District_04,2019.0,Kharif,Sugarcane,39670.95,4315.27,171190.86
Telangana,Tela_District_01,2018.0,Rabi,Wheat,49741.73,4428.1,220261.35
Uttar Pradesh,Utta_District_10,2013.0,Zaid,Maize,44505.96,1914.57,85209.78
Telangana,Tela_District_11,2018.0,Rabi,Cotton,20142.92,1706.38,
Punjab,Punj_District_13,2017.0,Rabi,Soybean,30354.34,4724.62,143412.72
West Bengal,West_District_12,2016.0,Kharif,Jowar,17297.58,3006.51,52005.35
Haryana,Hary_District_04,2013.0,Zaid,Rice,,1264.1,18816.57
West Bengal,West_District_13,2011.0,Zaid,Wheat,9839.76,760.75,7485.6
Uttar Pradesh,Utta_District_15,2012.0,Zaid,Wheat,47469.75,2312.96,109795.63
West Bengal,West_District_03,2016.0,Zaid,Maize,41722.63,3565.98,148782.06
,Tami_District_02,2018.0,Rabi,Soybean,9676.87,1289.58,12479.1
Tamil Nadu,Tami_District_17,2021.0,Rabi,Wheat,40618.21,1691.2,
Maharashtra,Maha_District_06,2021.0,Zaid,Barley,45672.93,1130.25,51621.83
West Bengal,West_District_20,2021.0,Kharif,Barley,33917.66,4165.13,141271.46
Odisha,Odis_District_15,2018.0,Zaid,Cotton,11839.29,1742.93,20635.05
Uttar Pradesh,Utta_District_18,2014.0,Rabi,Cotton,48229.49,1690.69,81541.12
West Bengal,West_District_19,2023.0,Zaid,Maize,21554.86,2446.32,
Maharashtra,Maha_District_15,,Rabi,Maize,,3991.06,50791.95
Gujarat,Guja_District_20,2023.0,Kharif,Wheat,38615.28,2202.43,85047.45
,Raja_District_08,2021.0,Rabi,Rice,41772.78,1458.84,60939.8
Telangana,Tela_District_08,2016.0,Kharif,Soybean,314.86,3070.25,966.7
West Bengal,West_District_02,2022.0,Rabi,Mustard,49704.48,673.9,33495.85
Gujarat,Guja_District_10,2021.0,Rabi,Jowar,10479.1,2835.12,29709.51
Uttar Pradesh,Utta_District_14,2010.0,Zaid,Groundnut,40516.04,900.69,36492.39
Odisha,Odis_District_19,2023.0,Rabi,Soybean,19822.21,3861.84,76550.2
Haryana,Hary_District_03,2010.0,Kharif,Barley,18640.01,1349.76,25159.54
Tamil Nadu,Tami_District_05,2014.0,Zaid,Maize,9855.24,2345.22,23112.71
West Bengal,West_District_01,2012.0,Kharif,Soybean,24022.91,4378.16,105176.14
Assam,,2015.0,Zaid,Sugarcane,32148.4,3606.81,115953.17
Madhya Pradesh,Madh_District_18,2019.0,Rabi,Wheat,49151.06,2353.3,115667.19
Karnataka,Karn_District_08,2011.0,Rabi,Groundnut,20227.38,4655.06,94159.67
,Andh_District_12,2017.0,Rabi,Jowar,12369.19,3784.17,46807.12
Madhya Pradesh,Madh_District_11,,Rabi,Groundnut,37753.2,940.05,35489.9
Maharashtra,Maha_District_05,2011.0,Kharif,Soybean,23464.75,1402.53,32910.02
Tamil Nadu,Tami_District_19,2010.0,Zaid,Mustard,9350.23,2587.23,24191.2
Telangana,Tela_District_03,2015.0,Kharif,Maize,14542.54,4082.27,59366.57
Punjab,Punj_District_12,2022.0,Zaid,Sugarcane,45389.48,4112.24,186652.44
Uttar Pradesh,Utta_District_11,2019.0,Rabi,Maize,13374.94,1733.6,23186.8
Gujarat,Guja_District_03,2020.0,Rabi,Jowar,12810.94,1107.67,14190.29
Gujarat,Guja_District_20,2010.0,Rabi,Sugarcane,47195.54,2309.22,108984.88
West Bengal,West_District_13,2013.0,Zaid,Barley,11312.0,4310.02,48754.95
Gujarat,Guja_District_12,,Rabi,Groundnut,20019.85,658.03,13173.66
Haryana,Hary_District_05,2013.0,Zaid,Mustard,8180.88,3376.63,27623.8
Tamil Nadu,Tami_District_08,2016.0,,Barley,39166.97,1449.2,56760.77
Assam,Assa_District_02,2010.0,Rabi,Rice,45878.04,4329.49,198628.52
Punjab,Punj_District_09,2019.0,Zaid,Sugarcane,42434.2,1524.48,64690.09
Bihar,Biha_District_13,2015.0,Zaid,Sugarcane,2621.75,4403.41,11544.64
Maharashtra,Maha_District_20,2020.0,Rabi,Groundnut,,,50457.57
Gujarat,Guja_District_07,2013.0,Kharif,Cotton,38022.35,1077.32,40962.24
Maharashtra,Maha_District_01,2013.0,Rabi,Barley,39063.83,4723.3,
Uttar Pradesh,Utta_District_15,2015.0,Rabi,Mustard,36445.91,2485.5,90586.31
Karnataka,Karn_District_09,2018.0,Kharif,Groundnut,43846.24,2873.56,125994.8
Odisha,Odis_District_03,2015.0,Kharif,Maize,37264.07,4192.28,156221.42
Tamil Nadu,Tami_District_07,2023.0,Kharif,Sugarcane,37492.71,1795.35,67312.54
Assam,Assa_District_14,2022.0,Rabi,Groundnut,5980.41,1572.52,9404.31
Rajasthan,Raja_District_11,2015.0,Rabi,Soybean,25193.46,2773.75,69880.36
Rajasthan,Raja_District_09,2021.0,Kharif,Maize,29173.95,2277.96,66457.09
Odisha,Odis_District_05,2020.0,Zaid,Mustard,39365.88,4609.19,181444.82
Rajasthan,Raja_District_12,2018.0,Rabi,Groundnut,12411.58,3814.35,47342.11
Uttar Pradesh,Utta_District_16,2015.0,Rabi,Soybean,33930.8,2853.91,96835.45
Telangana,Tela_District_07,2016.0,Rabi,Jowar,9507.66,4078.55,38777.47
Assam,Assa_District_06,,Zaid,Groundnut,48035.25,3748.26,180048.61
Telangana,Tela_District_14,2010.0,Kharif,Cotton,45901.21,4928.83,226239.26
Assam,Assa_District_03,2015.0,Zaid,Wheat,17667.33,3372.01,
Haryana,Hary_District_11,2017.0,Zaid,Jowar,23749.24,4939.83,117317.21
Bihar,Biha_District_06,2020.0,Kharif,Soybean,4781.01,2355.69,11262.58
Maharashtra,Maha_District_04,2018.0,Kharif,Sugarcane,43789.4,1778.23,77867.62
Punjab,Punj_District_03,2014.0,Zaid,Soybean,39410.86,2222.52,87591.42
Andhra Pradesh,Andh_District_13,2013.0,Kharif,Jowar,49000.93,4475.88,219322.28
Rajasthan,Raja_District_08,2011.0,,Soybean,15135.89,,60026.97
Gujarat,Guja_District_06,2022.0,Kharif,Jowar,16909.14,3228.63,54593.36
Karnataka,Karn_District_03,2017.0,Zaid,Mustard,32958.19,4233.18,139517.95
Punjab,Punj_District_09,2022.0,Kharif,,1320.1,1490.71,1967.89
Assam,Assa_District_05,2020.0,Rabi,Cotton,35624.7,3035.85,108151.25
Odisha,Odis_District_16,2017.0,Kharif,Rice,24830.69,748.44,18584.28
Rajasthan,Raja_District_06,2023.0,Kharif,Sugarcane,17478.97,4392.95,76784.24
West Bengal,West_District_20,2014.0,Rabi,Jowar,1641.55,2283.96,3749.23
West Bengal,West_District_05,2014.0,Kharif,Cotton,47262.9,728.96,
Andhra Pradesh,Andh_District_19,2022.0,Rabi,Wheat,37510.32,1659.26,62239.37
Madhya Pradesh,Madh_District_06,2010.0,Rabi,Maize,43343.78,3857.31,167190.4
Andhra Pradesh,Andh_District_06,2010.0,Zaid,Jowar,44296.69,1471.66,65189.67
Punjab,,2010.0,Rabi,Mustard,26611.51,4006.71,106624.6
Bihar,Biha_District_15,2019.0,Kharif,Sugarcane,12360.42,1538.36,19014.78
Rajasthan,Raja_District_10,2013.0,Kharif,Maize,1456.39,4813.32,7010.07
Tamil Nadu,Tami_District_12,2021.0,Kharif,Jowar,35529.84,3360.02,119380.97
West Bengal,West_District_11,2013.0,Rabi,Sugarcane,37225.34,2892.26,107665.36
Madhya Pradesh,Madh_District_01,2019.0,Kharif,Mustard,23859.08,2522.9,60194.07
Andhra Pradesh,Andh_District_17,2022.0,Kharif,Rice,,1406.91,45102.61
Assam,Assa_District_11,2013.0,Kharif,Barley,44414.13,4152.89,184447.0
Tamil Nadu,Tami_District_20,2010.0,Kharif,Soybean,17543.22,3103.74,54449.59
Madhya Pradesh,Madh_District_10,,Rabi,Rice,7137.26,4875.56,34798.14
Rajasthan,Raja_District_13,2018.0,Kharif,Sugarcane,45154.35,4648.54,209901.8
Punjab,Punj_District_05,2020.0,Kharif,Maize,16674.94,1261.11,21028.93
Tamil Nadu,Tami_District_04,,,Barley,10667.43,905.01,9654.13
Telangana,Tela_District_08,2013.0,Kharif,Barley,6093.52,820.87,5001.99
Bihar,Biha_District_13,2020.0,Zaid,Groundnut,,833.26,41239.85
Maharashtra,Maha_District_12,2012.0,Rabi,Cotton,6713.85,4222.65,28350.24
Madhya Pradesh,Madh_District_07,2020.0,Rabi,Rice,29053.99,3984.88,115776.66
Maharashtra,Maha_District_10,2019.0,Zaid,Sugarcane,31582.51,4469.79,141167.19
Uttar Pradesh,,2018.0,Zaid,Groundnut,31959.53,2849.56,91070.6
Punjab,Punj_District_15,2018.0,Zaid,Rice,35666.21,2513.27,89638.82
Gujarat,Guja_District_07,2022.0,Rabi,Wheat,17368.58,2604.44,45235.42
Andhra Pradesh,Andh_District_03,2021.0,Rabi,Groundnut,8568.73,4084.57,34999.58
Karnataka,Karn_District_16,2020.0,Kharif,Soybean,13109.12,1190.89,15611.52
Telangana,Tela_District_04,2011.0,Zaid,Mustard,12392.98,4289.32,53157.46
Uttar Pradesh,,2017.0,Kharif,Sugarcane,16577.04,3587.22,59465.49
Odisha,Odis_District_07,2019.0,Rabi,Barley,42834.84,849.85,36403.19
Odisha,Odis_District_06,2017.0,Kharif,Wheat,38274.72,1884.49,72128.33
Bihar,Biha_District_14,2015.0,Zaid,Soybean,10909.46,3600.06,39274.71
Madhya Pradesh,Madh_District_11,2021.0,Rabi,Jowar,45498.85,1827.59,83153.24
Rajasthan,Raja_District_07,2021.0,Zaid,Groundnut,28484.81,1804.25,51393.72
Telangana,Tela_District_19,2023.0,,Wheat,27758.85,,91559.24
Karnataka,Karn_District_01,2022.0,Rabi,Rice,30555.74,3305.96,101016.05
Gujarat,Guja_District_19,,,Barley,6840.48,3620.93,24768.9
Uttar Pradesh,Utta_District_14,2014.0,,Rice,33770.04,3571.65,120614.76
Karnataka,Karn_District_09,2022.0,Kharif,Barley,3796.12,2510.77,9531.18
West Bengal,West_District_17,2019.0,Kharif,Sugarcane,20510.85,890.2,18258.76
Punjab,Punj_District_17,2012.0,Zaid,Groundnut,11196.16,2484.33,27814.96
Telangana,Tela_District_08,2019.0,Rabi,Sugarcane,37171.02,1566.78,58238.81
Haryana,Hary_District_15,2013.0,Rabi,Rice,41504.52,2956.09,122691.1
Tamil Nadu,Tami_District_16,2017.0,Zaid,Wheat,38045.04,2626.5,99925.3
Haryana,Hary_District_16,2018.0,Kharif,Groundnut,25009.79,3288.74,82250.7
Telangana,Tela_District_08,2017.0,Kharif,Sugarcane,46405.73,2713.16,125906.17
Gujarat,Guja_District_09,2020.0,Kharif,Groundnut,26480.01,3208.99,84974.09
Andhra Pradesh,Andh_District_11,2015.0,Kharif,Rice,36902.01,823.33,30382.53
Bihar,Biha_District_17,,,Maize,25832.8,2667.16,68900.21
Tamil Nadu,,2012.0,Kharif,Mustard,46092.08,2720.78,125406.41
Bihar,Biha_District_12,2020.0,Kharif,,23469.19,4829.9,113353.84
Andhra Pradesh,Andh_District_05,2012.0,Zaid,Sugarcane,22583.77,1313.98,29674.62
Bihar,Biha_District_03,2018.0,Rabi,Groundnut,10924.11,928.34,10141.29
Gujarat,Guja_District_04,2020.0,Zaid,Sugarcane,,2443.76,313.66
Punjab,Punj_District_17,2010.0,Zaid,Maize,38485.2,3800.6,146266.85
Uttar Pradesh,Utta_District_17,2021.0,Zaid,Wheat,1704.24,,5223.36
Andhra Pradesh,Andh_District_05,2016.0,Rabi,Jowar,7798.73,4734.84,36925.74
Madhya Pradesh,,2018.0,Zaid,Sugarcane,8451.51,3319.88,28058.0
Andhra Pradesh,Andh_District_19,2021.0,Rabi,Maize,16379.29,3387.03,55477.15
Andhra Pradesh,Andh_District_12,2022.0,Rabi,Groundnut,20671.7,3918.39,80999.78
Maharashtra,Maha_District_12,2021.0,Kharif,Soybean,11610.89,4576.06,53132.13
,Biha_District_17,2012.0,Rabi,Rice,25060.46,3902.42,97796.44
Assam,Assa_District_01,2018.0,Kharif,Barley,42501.54,4994.73,212283.72
Haryana,Hary_District_12,,Kharif,Barley,11274.89,1791.02,20193.55
West Bengal,West_District_12,2010.0,Zaid,Sugarcane,12596.61,1682.92,21199.09
Haryana,,2014.0,Rabi,Maize,29163.99,4970.85,144969.82
Uttar Pradesh,Utta_District_11,2016.0,Rabi,Rice,49514.88,2870.48,142131.47
Bihar,Biha_District_20,2021.0,Zaid,Cotton,31987.46,4369.87,139781.04
Haryana,Hary_District_15,2016.0,Kharif,,46653.38,1417.37,66125.1
Madhya Pradesh,Madh_District_16,2015.0,Zaid,Rice,26474.23,4247.77,112456.44
Assam,Assa_District_13,2023.0,Rabi,Soybean,15229.78,2479.14,37756.76
Tamil Nadu,Tami_District_13,2019.0,Zaid,Jowar,49282.49,,243096.23
Maharashtra,Maha_District_03,2023.0,Rabi,Barley,45314.73,4093.02,185474.1
Tamil Nadu,Tami_District_17,2016.0,Kharif,Barley,13529.61,1943.83,26299.26
Assam,Assa_District_02,2011.0,Zaid,Jowar,27409.41,3023.5,
Telangana,Tela_District_01,2014.0,Kharif,Maize,25324.59,3365.02,85217.75
Tamil Nadu,Tami_District_06,2016.0,Zaid,Maize,20475.32,,79265.7
Tamil Nadu,Tami_District_13,2013.0,Rabi,Wheat,16744.14,1988.05,33288.19
Karnataka,Karn_District_16,2020.0,Zaid,Cotton,6448.58,1349.2,8700.42
Madhya Pradesh,Madh_District_06,2021.0,Kharif,Maize,42540.99,2508.27,106704.29
Tamil Nadu,Tami_District_07,2016.0,Kharif,Rice,11470.6,3917.03,44930.68
Telangana,Tela_District_09,2021.0,Rabi,Soybean,27743.66,595.2,16513.03
Gujarat,Guja_District_06,2019.0,Kharif,Jowar,15886.44,1296.51,20596.93
Haryana,Hary_District_10,2023.0,Kharif,Mustard,32828.06,1737.64,57043.35
Tamil Nadu,Tami_District_20,2023.0,Zaid,Soybean,3340.84,747.21,2496.31
Andhra Pradesh,Andh_District_18,2021.0,Kharif,Mustard,29128.19,597.76,
Tamil Nadu,Tami_District_06,2020.0,Rabi,Groundnut,42454.73,1199.29,50915.53
Telangana,Tela_District_14,2010.0,Rabi,Wheat,,2501.1,75952.55
Karnataka,Karn_District_10,2015.0,Zaid,Rice,22198.29,823.09,18271.19
Rajasthan,Raja_District_04,2023.0,Rabi,Sugarcane,40157.34,4518.74,181460.58
Karnataka,Karn_District_13,2017.0,Zaid,Maize,649.73,1303.72,847.07
Uttar Pradesh,Utta_District_05,2017.0,Rabi,Sugarcane,45204.82,2972.72,134381.27
Odisha,Odis_District_11,2010.0,Rabi,Rice,7586.97,1412.56,10717.05
Karnataka,Karn_District_02,2016.0,Rabi,Sugarcane,33033.31,3761.68,124260.74
West Bengal,West_District_07,2013.0,Kharif,Cotton,30011.4,4789.17,143729.7
Bihar,Biha_District_13,2018.0,Zaid,Cotton,24753.77,1851.22,45824.67
Rajasthan,Raja_District_16,2021.0,Kharif,Barley,23913.92,2118.5,50661.64
Uttar Pradesh,Utta_District_09,2013.0,Kharif,Wheat,11298.35,706.83,7986.01
Andhra Pradesh,Andh_District_20,2015.0,Kharif,Rice,17675.4,3701.34,65422.67
Gujarat,Guja_District_06,2015.0,Rabi,Jowar,,2476.3,2525.95
Telangana,Tela_District_04,2011.0,Zaid,Barley,32236.07,3246.82,104664.72
Bihar,Biha_District_13,2014.0,Zaid,Rice,38854.76,4147.34,161143.9
West Bengal,West_District_03,2021.0,Rabi,Barley,35614.12,962.59,34281.8
Assam,Assa_District_16,2012.0,,Maize,23803.62,3215.33,76536.49
Karnataka,Karn_District_15,2012.0,Rabi,Cotton,12353.75,691.48,8542.37
Andhra Pradesh,Andh_District_18,2021.0,Zaid,Soybean,11257.16,2547.02,28672.21
Haryana,Hary_District_17,2014.0,,Maize,20755.12,1295.0,26877.88
West Bengal,West_District_10,2013.0,Rabi,,41238.34,4665.59,192401.19
Maharashtra,Maha_District_17,2014.0,Kharif,Wheat,10147.28,4683.08,47520.52
Odisha,Odis_District_14,2018.0,Zaid,,991.26,4662.33,4621.58
Bihar,Biha_District_02,2020.0,Rabi,Cotton,47601.25,554.23,26382.04
West Bengal,West_District_14,2011.0,Kharif,Wheat,38174.66,4865.91,185754.46
West Bengal,West_District_07,2019.0,Zaid,Groundnut,45304.52,4868.2,220551.46
Karnataka,Karn_District_14,2012.0,Rabi,Wheat,27561.14,851.7,23473.82
Haryana,Hary_District_17,2021.0,Kharif,Sugarcane,42504.48,,138659.39
Madhya Pradesh,Madh_District_20,2022.0,Zaid,Groundnut,30775.36,2377.64,73172.73
Haryana,Hary_District_14,2020.0,Kharif,Barley,28634.91,1191.11,34107.33
West Bengal,West_District_16,2011.0,Rabi,Barley,37014.52,837.58,31002.62
Uttar Pradesh,Utta_District_08,2012.0,Zaid,Groundnut,36516.06,4320.4,157763.99
Rajasthan,,2018.0,Zaid,Cotton,23676.19,2794.24,66156.96
